,,ナビデータ中身
2019/11/10,12:02:59,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120257014
2019/11/10,12:03:05,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120258014
2019/11/10,12:03:06,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120259014
2019/11/10,12:03:06,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120300014
2019/11/10,12:03:06,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120301014
2019/11/10,12:03:06,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120302014
2019/11/10,12:03:06,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120303014
2019/11/10,12:03:06,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120304014
2019/11/10,12:03:06,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120305014
2019/11/10,12:03:08,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120306014
2019/11/10,12:03:11,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120307014
2019/11/10,12:03:14,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120309014
2019/11/10,12:03:14,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120308014
2019/11/10,12:03:14,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120310014
2019/11/10,12:03:14,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120311014
2019/11/10,12:03:14,CVGPSR003FB03000489000489037461790140293656+065000013341+00030120312014
2019/11/10,12:03:14,CVGPSR003FB03000489000489037461792140293656+065000013341+00030120313014
2019/11/10,12:03:15,CVGPSR003FB03000489000489037461792140293656+065000013341+00030120314014
2019/11/10,12:03:16,CVGPSR003FB03000489000489037461792140293656+065000013341+00030120315014
2019/11/10,12:03:17,CVGPSR003FB03000489000489037461792140293656+064000013341+00030120316014
2019/11/10,12:03:18,CVGPSR003FB03000489000489037461792140293656+064000013341+00030120317014
2019/11/10,12:03:19,CVGPSR003FB03000489000489037461792140293659+064000013341+00030120318014
2019/11/10,12:03:20,CVGPSR003FB03000489000489037461792140293659+064000013341+00030120319014
2019/11/10,12:03:21,CVGPSR003FB03000489000489037461793140293659+063000013341+00030120320014
2019/11/10,12:03:22,CVGPSR003FB03000489000489037461793140293659+063000013341+00030120321014
2019/11/10,12:03:24,CVGPSR003FB03000489000489037461793140293659+063000013341+00030120322014
2019/11/10,12:03:24,CVGPSR003FB03000489000489037461793140293659+063000013341+00030120323014
2019/11/10,12:03:25,CVGPSR003FB03000489000489037461793140293659+063000013341+00030120324014
2019/11/10,12:03:26,CVGPSR003FB03000489000489037461793140293659+063000013341+00030120325014
2019/11/10,12:03:27,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120326014
2019/11/10,12:03:28,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120327014
2019/11/10,12:03:29,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120328014
2019/11/10,12:03:30,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120329014
2019/11/10,12:03:32,CVGPSR003FB03000489000489037461796140293662+062000013341+00030120330014
2019/11/10,12:03:32,CVGPSR003FB03000489000489037461796140293662+062000013341+00030120331014
2019/11/10,12:03:33,CVGPSR003FB03000489000489037461796140293662+062000013341+00030120332014
2019/11/10,12:03:34,CVGPSR003FB03000489000489037461796140293662+062000013341+00030120333014
2019/11/10,12:03:36,CVGPSR003FB03000489000489037461796140293662+062000013341+00030120334014
2019/11/10,12:03:36,CVGPSR003FB03000489000489037461796140293662+062000013341+00030120335014
2019/11/10,12:03:37,CVGPSR003FB03000489000489037461796140293662+062000013341+00030120336014
2019/11/10,12:03:38,CVGPSR003FB03000489000489037461796140293662+062000013341+00030120337014
2019/11/10,12:03:39,CVGPSR003FB03000489000489037461796140293662+062000013341+00030120338014
2019/11/10,12:03:40,CVGPSR003FB03000489000489037461796140293662+062000013341+00030120339014
2019/11/10,12:03:42,CVGPSR003FB03000489000489037461796140293662+062000013341+00030120340014
2019/11/10,12:03:42,CVGPSR003FB03000489000489037461796140293665+062000013341+00030120341014
2019/11/10,12:03:43,CVGPSR003FB03000489000489037461796140293665+062000013341+00030120342014
2019/11/10,12:03:44,CVGPSR003FB03000489000489037461796140293665+062000013341+00030120343014
2019/11/10,12:03:45,CVGPSR003FB03000489000489037461796140293665+062000013341+00030120344014
2019/11/10,12:03:46,CVGPSR003FB03000489000489037461795140293665+062000013341+00030120345014
2019/11/10,12:03:47,CVGPSR003FB03000489000489037461795140293665+062000013341+00030120346014
2019/11/10,12:03:48,CVGPSR003FB03000489000489037461795140293665+062000013341+00030120347014
2019/11/10,12:03:49,CVGPSR003FB03000489000489037461795140293665+062000013341+00030120348014
2019/11/10,12:03:51,CVGPSR003FB03000489000489037461795140293665+062000013341+00030120349014
2019/11/10,12:03:52,CVGPSR003FB03000489000489037461795140293665+062000013341+00030120350014
2019/11/10,12:03:54,CVGPSR003FB03000489000489037461795140293665+062000013341+00030120351014
2019/11/10,12:03:57,CVGPSR003FB03000489000489037461795140293665+062000013341+00030120352014
2019/11/10,12:03:57,CVGPSR003FB03000489000489037461795140293665+061000013341+00030120353014
2019/11/10,12:03:57,CVGPSR003FB03000489000489037461795140293665+061000013341+00030120354014
2019/11/10,12:03:57,CVGPSR003FB03000489000489037461795140293665+061000013341+00030120355014
2019/11/10,12:03:57,CVGPSR003FB03000489000489037461795140293665+061000013341+00030120356014
2019/11/10,12:03:58,CVGPSR003FB03000489000489037461796140293665+061000013341+00030120357014
2019/11/10,12:03:59,CVGPSR003FB03000489000489037461796140293665+060000013341+00030120358014
2019/11/10,12:04:00,CVGPSR003FB03000489000489037461796140293665+060000013341+00030120359014
2019/11/10,12:04:01,CVGPSR003FB03000489000489037461796140293665+060000013341+00030120400014
2019/11/10,12:04:02,CVGPSR003FB03000489000489037461796140293665+059000013341+00030120401014
2019/11/10,12:04:07,CVGPSR003FB03000489000489037461796140293665+059000013341+00030120402014
2019/11/10,12:04:07,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120404014
2019/11/10,12:04:07,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120403014
2019/11/10,12:04:07,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120405014
2019/11/10,12:04:07,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120406014
2019/11/10,12:04:08,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120407014
2019/11/10,12:04:09,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120408014
2019/11/10,12:04:10,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120409014
2019/11/10,12:04:11,CVGPSR003FB03000489000489037461798140293665+058000013341+00030120410014
2019/11/10,12:04:12,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120411014
2019/11/10,12:04:13,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120412014
2019/11/10,12:04:14,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120413014
2019/11/10,12:04:15,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120414014
2019/11/10,12:04:17,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120415014
2019/11/10,12:04:17,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120416014
2019/11/10,12:04:18,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120417014
2019/11/10,12:04:19,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120418014
2019/11/10,12:04:20,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120419014
2019/11/10,12:04:21,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120420014
2019/11/10,12:04:23,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120421014
2019/11/10,12:04:24,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120422014
2019/11/10,12:04:24,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120423014
2019/11/10,12:04:25,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120424014
2019/11/10,12:04:26,CVGPSR003FB03000489000489037461796140293665+059000013341+00030120425014
2019/11/10,12:04:27,CVGPSR003FB03000489000489037461796140293665+059000013341+00030120426014
2019/11/10,12:04:28,CVGPSR003FB03000489000489037461798140293665+059000013341+00030120427014
2019/11/10,12:04:30,CVGPSR003FB03000489000489037461800140293659+059000013341+00030120428014
2019/11/10,12:04:33,CVGPSR003FB03000492000492037461804140293650+059000013341+00030120429014
2019/11/10,12:04:33,CVGPSR003FB03000492000492037461810140293631+059017129670+00030120430014
2019/11/10,12:04:33,CVGPSR003FB03000492000492037461820140293612+059020829804+00030120431014
2019/11/10,12:04:33,CVGPSR003FB03000492000492037461828140293590+059021329735+00030120432114
2019/11/10,12:04:34,CVGPSR003FB03000492000492037461837140293571+059019730041+00030120433114
