,,ナビデータ中身
2019/11/10,12:03:30,CVNAVR103FB03000147000147037461650140293668+029000028512+00070120329008
2019/11/10,12:03:31,CVNAVR103FB03000147000147037461650140293668+029000028513+00070120330008
2019/11/10,12:03:32,CVNAVR103FB03000147000147037461650140293668+029000028511+00070120331008
2019/11/10,12:03:33,CVNAVR103FB03000147000147037461650140293668+029000028511+00070120332008
2019/11/10,12:03:34,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120333008
2019/11/10,12:03:36,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120334008
2019/11/10,12:03:36,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120335008
2019/11/10,12:03:37,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120336008
2019/11/10,12:03:40,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120337008
2019/11/10,12:03:40,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120338008
2019/11/10,12:03:40,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120339008
2019/11/10,12:03:41,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120340008
2019/11/10,12:03:42,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120341008
2019/11/10,12:03:43,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120342008
2019/11/10,12:03:44,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120343008
2019/11/10,12:03:47,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120344008
2019/11/10,12:03:47,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120345008
2019/11/10,12:03:47,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120346008
2019/11/10,12:03:48,CVNAVR103FB03000147000147037461650140293668+029000028510+00070120347008
2019/11/10,12:03:53,CVNAVR103FB03000147000147037461650140293668+029000028509+00070120348008
2019/11/10,12:03:53,CVNAVR103FB03000147000147037461650140293668+029000028509+00070120350008
2019/11/10,12:03:53,CVNAVR103FB03000147000147037461650140293668+029000028508+00070120351008
2019/11/10,12:03:53,CVNAVR103FB03000147000147037461650140293668+029000028508+00070120352008
2019/11/10,12:03:53,CVNAVR103FB03000147000147037461650140293668+029000028509+00070120349008
2019/11/10,12:03:54,CVNAVR103FB03000147000147037461650140293668+029000028508+00070120353008
2019/11/10,12:03:55,CVNAVR103FB03000147000147037461650140293668+029000028507+00070120354008
2019/11/10,12:03:56,CVNAVR103FB03000147000147037461650140293668+029000028506+00070120355008
2019/11/10,12:03:57,CVNAVR103FB03000147000147037461650140293668+029000028502+00070120356008
2019/11/10,12:03:58,CVNAVR103FB03000147000147037461650140293668+029000028501+00070120357008
2019/11/10,12:03:59,CVNAVR103FB03000147000147037461650140293668+029000028500+00070120358008
2019/11/10,12:04:00,CVNAVR103FB03000147000147037461650140293668+029000028497+00070120359008
