,,ナビデータ中身
2019/11/10,12:02:31,CVGPSR001FC01000510000470037461918140293368+067000030238-04070120230114
2019/11/10,12:02:32,CVGPSR001FC01000510000470037461918140293368+067000030237-04070120231114
2019/11/10,12:02:33,CVGPSR001FC01000510000470037461918140293368+067000030237-04070120232114
2019/11/10,12:02:34,CVGPSR001FC01000510000470037461918140293368+067000030237-04070120233114
2019/11/10,12:02:35,CVGPSR001FC01000510000470037461918140293368+067000030235-04070120234114
2019/11/10,12:02:36,CVGPSR001FC01000510000470037461918140293368+067000030235-04070120235114
2019/11/10,12:02:37,CVGPSR001FC01000510000470037461918140293368+067000030235-04070120236114
2019/11/10,12:02:38,CVGPSR001FC01000510000470037461918140293368+067000030234-04070120237114
2019/11/10,12:02:39,CVGPSR001FC01000510000470037461918140293368+067000030232-04070120238114
2019/11/10,12:02:40,CVGPSR001FC01000510000470037461918140293368+067000030232-04070120239114
2019/11/10,12:02:41,CVGPSR001FC01000510000470037461918140293368+067000030232-04070120240114
2019/11/10,12:02:42,CVGPSR001FC01000510000470037461918140293368+067000030229-04070120241114
2019/11/10,12:02:43,CVGPSR001FC01000510000470037461918140293368+067000030228-04070120242114
2019/11/10,12:02:44,CVGPSR001FC01000510000470037461918140293368+067000030227-04070120243114
2019/11/10,12:02:45,CVGPSR001FC01000510000470037461918140293368+067000030226-04070120244114
2019/11/10,12:02:46,CVGPSR001FC01000510000470037461918140293368+067000030225-04070120245114
2019/11/10,12:02:47,CVGPSR001FC01000510000470037461918140293368+067000030227-04070120246114
2019/11/10,12:02:48,CVGPSR001FC01000510000470037461918140293368+067000030226-04070120247114
2019/11/10,12:02:49,CVGPSR001FC01000510000470037461918140293368+067000030224-04070120248114
2019/11/10,12:02:50,CVGPSR001FC01000510000470037461918140293368+067000030223-04070120249114
2019/11/10,12:02:51,CVGPSR001FC01000510000470037461918140293368+067000030223-04070120250114
2019/11/10,12:02:52,CVGPSR001FC01000510000470037461918140293368+067000030223-04070120251114
2019/11/10,12:02:53,CVGPSR001FC01000510000470037461918140293368+067000030222-04070120252114
2019/11/10,12:02:54,CVGPSR001FC01000510000470037461918140293368+067000030223-04070120253114
2019/11/10,12:02:55,CVGPSR001FC01000510000470037461918140293368+067000030222-04070120254114
