,,ナビデータ中身
2019/11/10,12:02:58,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120256108
2019/11/10,12:02:59,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120257108
2019/11/10,12:03:00,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120258108
2019/11/10,12:03:01,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120259108
2019/11/10,12:03:02,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120300108
2019/11/10,12:03:03,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120301108
2019/11/10,12:03:04,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120302108
2019/11/10,12:03:05,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120303108
2019/11/10,12:03:06,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120304107
2019/11/10,12:03:07,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120305108
2019/11/10,12:03:08,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120306108
2019/11/10,12:03:09,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120307108
2019/11/10,12:03:10,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120308108
2019/11/10,12:03:11,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120309108
2019/11/10,12:03:12,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120310108
2019/11/10,12:03:13,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120311108
2019/11/10,12:03:14,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120312108
2019/11/10,12:03:15,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120313108
2019/11/10,12:03:16,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120314108
2019/11/10,12:03:17,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120315108
2019/11/10,12:03:18,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120316108
2019/11/10,12:03:19,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120317108
2019/11/10,12:03:20,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120318108
2019/11/10,12:03:21,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120319108
2019/11/10,12:03:22,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120320108
2019/11/10,12:03:23,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120321108
2019/11/10,12:03:24,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120322108
2019/11/10,12:03:25,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120323108
2019/11/10,12:03:26,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120324108
2019/11/10,12:03:27,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120325108
2019/11/10,12:03:28,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120326108
2019/11/10,12:03:29,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120327108
2019/11/10,12:03:30,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120328108
2019/11/10,12:03:31,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120329108
2019/11/10,12:03:32,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120330108
2019/11/10,12:03:33,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120331108
2019/11/10,12:03:34,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120332108
2019/11/10,12:03:35,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120333108
2019/11/10,12:03:36,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120334108
2019/11/10,12:03:37,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120335108
2019/11/10,12:03:38,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120336108
2019/11/10,12:03:39,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120337108
