ì˙ït,,,,,NAVIÉfÅ[É^,ë¨ìxÉiÉ},éûä‘ÉiÉ},éûä‘,NAV/GPS,ë¨ìx(km/h),à‹ìx,åoìx
2019/11/10,48:08.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333633393031333539393033373433353038353134303233323034332B3134373031373833353435352D303430373031323438303831313503,30313738,3.13234E+11,12:48:08,GPS,17.8,37ìx43ï™50.85ïb,140ìx23ï™20.43ïb
2019/11/10,48:09.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333634353031333630353033373433353130333134303233323033372B3134373031383533353434342D303430373031323438303931313503,30313835,3.13234E+11,12:48:09,GPS,18.5,37ìx43ï™51.03ïb,140ìx23ï™20.37ïb
2019/11/10,48:10.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333635303031333631303033373433353132303134303233323033312B3134373031393533353435322D303430373031323438313031313503,30313935,3.13234E+11,12:48:10,GPS,19.5,37ìx43ï™51.2ïb,140ìx23ï™20.31ïb
2019/11/10,48:11.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333636303031333632303033373433353133393134303233323032352B3134373032303333353438312D303430373031323438313131313503,30323033,3.13234E+11,12:48:11,GPS,20.3,37ìx43ï™51.39ïb,140ìx23ï™20.25ïb
2019/11/10,48:12.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333636353031333632353033373433353135393134303233323031382B3134373032313133353436342D303430373031323438313231313503,30323131,3.13234E+11,12:48:12,GPS,21.1,37ìx43ï™51.59ïb,140ìx23ï™20.18ïb
2019/11/10,48:13.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333637313031333633313033373433353137383134303233323031322B3134373032323133353432372D303430373031323438313331313503,30323231,3.13234E+11,12:48:13,GPS,22.1,37ìx43ï™51.78ïb,140ìx23ï™20.12ïb
2019/11/10,48:14.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333637363031333633363033373433353139383134303233323030332B3134373032323833353432392D303430373031323438313431313503,30323238,3.13234E+11,12:48:14,GPS,22.8,37ìx43ï™51.98ïb,140ìx23ï™20.03ïb
2019/11/10,48:15.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333638363031333634363033373433353231383134303233313939362B3134373032323433353435322D303430373031323438313531313503,30323234,3.13234E+11,12:48:15,GPS,22.4,37ìx43ï™52.18ïb,140ìx23ï™19.96ïb
2019/11/10,48:16.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333639313031333635313033373433353233373134303233313939302B3134373032313833353437362D303430373031323438313631313503,30323138,3.13234E+11,12:48:16,GPS,21.8,37ìx43ï™52.37ïb,140ìx23ï™19.9ïb
2019/11/10,48:18.7,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333639353031333635353033373433353235363134303233313938342B3134373032313533353434372D303430373031323438313731313503,30323135,3.13234E+11,12:48:17,GPS,21.5,37ìx43ï™52.56ïb,140ìx23ï™19.84ïb
2019/11/10,48:18.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333730303031333636303033373433353237353134303233313937382B3134373032313233353432372D303430373031323438313831313503,30323132,3.13234E+11,12:48:18,GPS,21.2,37ìx43ï™52.75ïb,140ìx23ï™19.78ïb
2019/11/10,48:19.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333730353031333636353033373433353239333134303233313937312B3134373032313033353433322D303430373031323438313931313503,30323130,3.13234E+11,12:48:19,GPS,21,37ìx43ï™52.93ïb,140ìx23ï™19.71ïb
2019/11/10,48:20.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333731303031333637303033373433353331303134303233313936322B3134373032303433353435312D303430373031323438323031313503,30323034,3.13234E+11,12:48:20,GPS,20.4,37ìx43ï™53.1ïb,140ìx23ï™19.62ïb
2019/11/10,48:21.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333732303031333638303033373433353332393134303233313935362B3134373031393933353436382D303430373031323438323131313503,30313939,3.13234E+11,12:48:21,GPS,19.9,37ìx43ï™53.29ïb,140ìx23ï™19.56ïb
2019/11/10,48:22.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333732353031333638353033373433353334353134303233313935332B3134383031393033353438342D303430373031323438323231313503,30313930,3.13234E+11,12:48:22,GPS,19,37ìx43ï™53.45ïb,140ìx23ï™19.53ïb
2019/11/10,48:24.5,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333733303031333639303033373433353336303134303233313934362B3134383031383033353437392D303430373031323438323331313503,30313830,3.13234E+11,12:48:23,GPS,18,37ìx43ï™53.6ïb,140ìx23ï™19.46ïb
2019/11/10,48:24.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333733303031333639303033373433353337353134303233313934302B3134383031373333353437302D303430373031323438323431313503,30313733,3.13234E+11,12:48:24,GPS,17.3,37ìx43ï™53.75ïb,140ìx23ï™19.4ïb
2019/11/10,48:25.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333733343031333639343033373433353339303134303233313933342B3134383031373433353435362D303430373031323438323531313503,30313734,3.13234E+11,12:48:25,GPS,17.4,37ìx43ï™53.9ïb,140ìx23ï™19.34ïb
2019/11/10,48:26.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333733393031333639393033373433353430363134303233313933312B3134383031373733353433382D303430373031323438323631313503,30313737,3.13234E+11,12:48:26,GPS,17.7,37ìx43ï™54.06ïb,140ìx23ï™19.31ïb
2019/11/10,48:27.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333734393031333730393033373433353432333134303233313932352B3134383031373933353432392D303430373031323438323731313503,30313739,3.13234E+11,12:48:27,GPS,17.9,37ìx43ï™54.23ïb,140ìx23ï™19.25ïb
2019/11/10,48:28.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333735353031333731353033373433353433393134303233313931382B3134383031383033353432382D303430373031323438323831313503,30313830,3.13234E+11,12:48:28,GPS,18,37ìx43ï™54.39ïb,140ìx23ï™19.18ïb
