,,ナビデータ中身
2019/11/10,12:02:02,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120201114
2019/11/10,12:02:03,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120202114
2019/11/10,12:02:04,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120203114
2019/11/10,12:02:05,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120204114
2019/11/10,12:02:06,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120205114
2019/11/10,12:02:07,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120206114
2019/11/10,12:02:08,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120207114
2019/11/10,12:02:09,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120208114
2019/11/10,12:02:10,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120209114
2019/11/10,12:02:11,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120210114
2019/11/10,12:02:12,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120211114
2019/11/10,12:02:13,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120212114
2019/11/10,12:02:14,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120213114
2019/11/10,12:02:15,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120214114
2019/11/10,12:02:16,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120215114
2019/11/10,12:02:17,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120216114
2019/11/10,12:02:18,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120217114
2019/11/10,12:02:19,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120218114
2019/11/10,12:02:20,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120219114
2019/11/10,12:02:21,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120220114
2019/11/10,12:02:22,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120221114
2019/11/10,12:02:23,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120222114
2019/11/10,12:02:24,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120223114
2019/11/10,12:02:25,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120224114
2019/11/10,12:02:26,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120225114
2019/11/10,12:02:27,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120226114
2019/11/10,12:02:28,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120227114
2019/11/10,12:02:29,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120228114
2019/11/10,12:02:30,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120229114
2019/11/10,12:02:31,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120230114
2019/11/10,12:02:32,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120231114
2019/11/10,12:02:33,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120232114
2019/11/10,12:02:34,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120233114
2019/11/10,12:02:35,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120234114
2019/11/10,12:02:36,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120235114
2019/11/10,12:02:37,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120236114
2019/11/10,12:02:38,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120237114
2019/11/10,12:02:39,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120238114
2019/11/10,12:02:40,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120239114
2019/11/10,12:02:41,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120240114
2019/11/10,12:02:42,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120241114
2019/11/10,12:02:43,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120242114
2019/11/10,12:02:44,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120243114
2019/11/10,12:02:45,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120244114
2019/11/10,12:02:46,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120245114
2019/11/10,12:02:47,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120246114
2019/11/10,12:02:48,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120247114
2019/11/10,12:02:49,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120248114
