,,ナビデータ中身
2019/11/10,12:04:39,CVNAVR102FC02000001-00014037461918140293662+070002314294-01570120438007
2019/11/10,12:04:40,CVNAVR102FC02000003-00012037461912140293665+070006814046-01570120439007
2019/11/10,12:04:41,CVNAVR102FC02000004-00011037461903140293668+070009613878-01570120440007
2019/11/10,12:04:42,CVNAVR102FC02000004-00011037461895140293668+070010113712-01570120441007
2019/11/10,12:04:43,CVNAVR102FC02000004-00011037461887140293675+070009713633-01570120442007
2019/11/10,12:04:44,CVNAVR102FC02000004-00011037461878140293678+070009913593-01570120443007
2019/11/10,12:04:45,CVNAVR102FC02000005-00010037461870140293684+070010413904-01570120444007
2019/11/10,12:04:46,CVNAVR102FC02000005-00010037461860140293687+070010414721-01570120445007
2019/11/10,12:04:47,CVNAVR102FC02000005-00010037461850140293693+069010415795-01570120446007
2019/11/10,12:04:48,CVNAVR102FC02000006-00009037461843140293700+069010017477-01570120447007
2019/11/10,12:04:49,CVNAVR102FC02000006-00009037461835140293703+069010219475-01570120448007
2019/11/10,12:04:50,CVNAVR102FC02000367000352037461828140293709+069010621812-01570120449107
2019/11/10,12:04:51,CVNAVR102FC02000368000353037461832140293712+068011524328-01570120450108
2019/11/10,12:04:52,CVNAVR102FC02000373000358037461829140293696+068013126409-01570120451107
2019/11/10,12:04:53,CVNAVR102FC02000384000369037461831140293681+068015327648-01570120452107
2019/11/10,12:04:54,CVNAVR102FC02000435000420037461834140293659+068018228405-01570120453107
2019/11/10,12:04:55,CVNAVR102FC02000440000425037461839140293637+067020928635-01570120454107
2019/11/10,12:04:56,CVNAVR102FC02000451000436037461820140293590+067021828802-01570120455108
2019/11/10,12:04:57,CVNAVR102FC02000456000441037461828140293571+066022228862-01570120456108
2019/11/10,12:04:58,CVNAVR102FC02000461000446037461837140293553+066023828873-01570120457107
2019/11/10,12:04:59,CVNAVR102FC02000466000451037461846140293534+066024628858-01570120458107
2019/11/10,12:05:00,CVNAVR102FC02000471000456037461856140293512+066024128895-01570120459107
2019/11/10,12:05:01,CVNAVR102FC02000481000466037461867140293493+066023528988-01570120500107
